player,trial,stone_type,result,result_N,result_R,result_SR,result_SSR
1,1,Paid,R,0,1,0,0
1,2,Paid,R,0,1,0,0
1,3,Paid,SR,0,0,1,0
1,4,Free,R,0,1,0,0
1,5,Paid,N,1,0,0,0
1,6,Free,N,1,0,0,0
1,7,Free,SSR,0,0,0,1
1,8,Free,N,1,0,0,0
1,9,Free,N,1,0,0,0
1,10,Free,N,1,0,0,0
1,11,Free,SR,0,0,1,0
1,12,Free,N,1,0,0,0
1,13,Free,R,0,1,0,0
1,14,Free,R,0,1,0,0
1,15,Free,R,0,1,0,0
1,16,Free,R,0,1,0,0
1,17,Free,N,1,0,0,0
1,18,Free,N,1,0,0,0
1,19,Paid,N,1,0,0,0
1,20,Free,N,1,0,0,0
1,21,Paid,N,1,0,0,0
1,22,Free,R,0,1,0,0
1,23,Free,N,1,0,0,0
1,24,Free,N,1,0,0,0
1,25,Paid,N,1,0,0,0
1,26,Free,N,1,0,0,0
1,27,Free,SR,0,0,1,0
1,28,Free,R,0,1,0,0
1,29,Free,N,1,0,0,0
1,30,Free,R,0,1,0,0
1,31,Free,N,1,0,0,0
1,32,Free,N,1,0,0,0
1,33,Paid,R,0,1,0,0
1,34,Free,N,1,0,0,0
1,35,Free,R,0,1,0,0
1,36,Paid,N,1,0,0,0
1,37,Free,N,1,0,0,0
1,38,Paid,SR,0,0,1,0
1,39,Free,R,0,1,0,0
1,40,Paid,N,1,0,0,0
1,41,Paid,N,1,0,0,0
1,42,Free,R,0,1,0,0
1,43,Paid,R,0,1,0,0
1,44,Free,R,0,1,0,0
1,45,Free,N,1,0,0,0
1,46,Paid,N,1,0,0,0
2,1,Paid,R,0,1,0,0
2,2,Paid,SSR,0,0,0,1
2,3,Free,R,0,1,0,0
2,4,Free,N,1,0,0,0
2,5,Free,SSR,0,0,0,1
2,6,Free,N,1,0,0,0
2,7,Free,N,1,0,0,0
2,8,Free,N,1,0,0,0
2,9,Free,N,1,0,0,0
2,10,Free,SSR,0,0,0,1
2,11,Free,N,1,0,0,0
2,12,Free,N,1,0,0,0
2,13,Free,N,1,0,0,0
2,14,Paid,SR,0,0,1,0
2,15,Paid,N,1,0,0,0
2,16,Free,N,1,0,0,0
2,17,Free,N,1,0,0,0
2,18,Paid,N,1,0,0,0
2,19,Free,R,0,1,0,0
2,20,Paid,N,1,0,0,0
2,21,Free,N,1,0,0,0
2,22,Free,SR,0,0,1,0
2,23,Free,R,0,1,0,0
2,24,Free,N,1,0,0,0
2,25,Free,R,0,1,0,0
2,26,Free,R,0,1,0,0
2,27,Free,N,1,0,0,0
2,28,Free,N,1,0,0,0
2,29,Free,N,1,0,0,0
2,30,Paid,SSR,0,0,0,1
2,31,Free,N,1,0,0,0
2,32,Paid,N,1,0,0,0
2,33,Free,N,1,0,0,0
2,34,Free,N,1,0,0,0
2,35,Free,N,1,0,0,0
2,36,Free,N,1,0,0,0
2,37,Free,N,1,0,0,0
2,38,Free,SR,0,0,1,0
2,39,Free,SR,0,0,1,0
2,40,Free,SR,0,0,1,0
2,41,Free,R,0,1,0,0
2,42,Paid,N,1,0,0,0
2,43,Free,N,1,0,0,0
2,44,Free,R,0,1,0,0
2,45,Paid,N,1,0,0,0
2,46,Paid,N,1,0,0,0
2,47,Free,R,0,1,0,0
2,48,Free,N,1,0,0,0
2,49,Free,R,0,1,0,0
2,50,Free,R,0,1,0,0
2,51,Free,SR,0,0,1,0
2,52,Free,N,1,0,0,0
2,53,Free,N,1,0,0,0
2,54,Free,N,1,0,0,0
3,1,Paid,R,0,1,0,0
3,2,Paid,R,0,1,0,0
3,3,Free,N,1,0,0,0
3,4,Paid,SSR,0,0,0,1
3,5,Paid,N,1,0,0,0
3,6,Free,R,0,1,0,0
3,7,Paid,N,1,0,0,0
3,8,Paid,SR,0,0,1,0
3,9,Paid,SR,0,0,1,0
3,10,Paid,SR,0,0,1,0
3,11,Free,SR,0,0,1,0
3,12,Paid,R,0,1,0,0
3,13,Free,N,1,0,0,0
3,14,Free,R,0,1,0,0
3,15,Paid,SR,0,0,1,0
3,16,Free,R,0,1,0,0
3,17,Free,R,0,1,0,0
3,18,Free,SR,0,0,1,0
3,19,Free,N,1,0,0,0
3,20,Free,N,1,0,0,0
3,21,Paid,N,1,0,0,0
3,22,Free,N,1,0,0,0
3,23,Paid,SR,0,0,1,0
3,24,Free,N,1,0,0,0
3,25,Free,SR,0,0,1,0
3,26,Free,N,1,0,0,0
3,27,Free,N,1,0,0,0
3,28,Paid,N,1,0,0,0
3,29,Paid,N,1,0,0,0
3,30,Paid,N,1,0,0,0
3,31,Free,N,1,0,0,0
