USER_ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12,Q12S1,Q13,Q13S1,Q13S2,Q14,Q14S1,Q15,Q15S1,Q15S2,Q61,gender,age,chiiki
1,3,3,1,1,80,80,70,50,40,20,50,45,20,30,30,20,2,2,1,2,2,8,NA,1,0,0,0,0,0,1,0,0,2,NA,NA,1,1,1,1,NA,1,7,7,4,2,69,13
2,2,2,2,8,0,25,30,30,60,30,10,20,20,10,50,20,5,5,5,5,5,8,NA,5,1,0,1,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,2,47,8
3,3,1,1,8,80,10,0,0,0,0,75,0,0,0,0,0,2,2,2,2,2,1,1,NA,0,1,1,1,1,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,1,1,99,2,37,21
4,3,3,1,1,100,50,0,0,50,0,100,50,0,0,50,0,3,1,1,1,1,1,2,NA,0,0,1,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,4,1,51,8
5,3,3,2,3,70,40,40,50,30,20,70,40,40,50,30,20,2,2,4,2,2,1,2,NA,0,0,0,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,2,NA,NA,99,1,38,27
6,3,1,1,1,100,0,0,0,0,0,100,0,0,0,0,0,1,1,1,1,1,1,1,NA,0,0,0,0,0,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,2,1,71,39
7,3,3,1,6,100,10,20,10,10,10,50,10,20,20,10,10,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,2,NA,NA,2,NA,NA,NA,NA,1,8,7,3,1,47,14
8,3,1,1,6,80,0,60,55,0,0,90,0,5,10,0,0,2,1,1,1,2,1,1,NA,0,0,0,0,0,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,2,1,71,1
9,3,1,1,1,100,50,100,75,50,25,100,50,75,75,50,25,2,2,1,1,1,1,2,NA,0,0,0,0,0,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,4,1,75,22
10,3,3,1,8,25,25,25,25,55,50,50,20,25,30,55,40,4,4,3,4,4,8,NA,8,0,0,0,0,0,0,0,1,2,NA,NA,2,NA,NA,NA,NA,1,2,2,3,2,66,24
11,1,2,2,3,60,30,25,10,10,0,60,10,10,5,1,0,2,2,2,3,4,1,2,NA,0,0,0,0,0,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,45,40
12,2,2,2,6,50,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,1,8,7,2,2,65,23
13,3,1,1,3,100,5,30,5,0,0,100,0,10,5,0,0,1,1,1,1,1,1,2,NA,0,1,0,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,3,2,73,17
14,3,3,2,8,60,70,70,50,70,50,50,60,60,50,60,40,3,2,3,3,3,3,2,NA,0,0,0,0,0,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,3,3,2,1,54,40
15,2,3,3,7,50,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,1,8,7,4,2,62,14
