Year,Month,Temperature,Icecream,Beer
2016,1,6.1,464,452
2016,2,7.2,397,584
2016,3,10.1,493,750
2016,4,15.4,617,835
2016,5,20.2,890,794
2016,6,22.4,883,961
2016,7,25.4,1292,1025
2016,8,27.1,1387,1021
2016,9,24.4,843,748
2016,10,18.7,621,730
2016,11,11.4,459,787
2016,12,8.9,562,1313
2017,1,5.8,489,441
2017,2,6.9,382,575
2017,3,8.5,472,796
2017,4,14.7,624,784
2017,5,20,915,906
2017,6,22,914,863
2017,7,27.3,1394,1026
2017,8,26.4,1370,939
2017,9,22.8,826,706
2017,10,16.8,599,689
2017,11,11.9,489,770
2017,12,6.6,573,1302
2018,1,4.7,507,426
2018,2,5.4,416,640
2018,3,11.5,607,618
2018,4,17,746,746
2018,5,19.9,894,694
2018,6,22.4,1021,882
2018,7,28.3,1506,963
2018,8,28.1,1443,898
2018,9,22.9,861,668
2018,10,19.1,640,661
2018,11,14,492,769
2018,12,8.3,537,1119
2019,1,5.6,494,440
2019,2,7.2,423,510
2019,3,10.6,542,681
2019,4,13.6,667,748
2019,5,20,1000,667
2019,6,21.8,991,825
2019,7,24.1,1236,825
2019,8,28.4,1513,866
2019,9,25.1,996,751
2019,10,19.4,724,582
2019,11,13.1,531,703
2019,12,8.5,584,1050
2020,1,7.1,510,418
2020,2,8.3,482,518
2020,3,10.7,610,476
2020,4,12.8,689,347
2020,5,19.5,1040,416
2020,6,23.2,1123,612
2020,7,24.3,1155,702
2020,8,29.1,1658,611
2020,9,24.2,1025,502
2020,10,17.5,649,529
2020,11,14,573,560
2020,12,7.7,599,827
2021,1,5.4,,227
2021,2,8.5,,327
2021,3,12.8,,472
2021,4,15.1,,552
2021,5,19.6,,377
2021,6,22.7,,551
2021,7,25.9,,708
2021,8,27.4,,385
2021,9,22.3,,529
