player,trial,stone_type,result
1,1,paid,N
1,2,free,N
1,3,free,N
1,4,free,R
1,5,paid,R
1,6,free,R
1,7,free,R
1,8,free,R
1,9,free,R
1,10,paid,N
1,11,paid,R
1,12,paid,N
1,13,free,N
1,14,free,N
1,15,paid,R
1,16,free,N
1,17,free,N
1,18,free,N
1,19,paid,N
1,20,free,N
1,21,free,SR
1,22,free,N
1,23,paid,R
1,24,free,N
1,25,free,N
1,26,free,SR
1,27,paid,R
1,28,free,SR
1,29,free,N
1,30,free,R
1,31,paid,N
1,32,free,N
1,33,free,N
1,34,free,N
1,35,paid,N
1,36,free,R
1,37,free,R
1,38,free,SR
1,39,free,R
1,40,free,R
1,41,paid,N
1,42,free,SSR
1,43,free,SR
1,44,free,N
1,45,free,N
1,46,free,N
1,47,paid,SR
1,48,free,SR
1,49,paid,N
1,50,free,N
1,51,free,N
1,52,free,N
1,53,free,SR
1,54,free,N
1,55,free,N
1,56,free,N
1,57,free,N
1,58,free,N
1,59,free,N
1,60,free,N
1,61,free,N
1,62,free,N
1,63,free,SR
1,64,paid,N
1,65,paid,N
1,66,free,SR
1,67,free,N
1,68,free,R
1,69,free,N
1,70,free,SR
1,71,free,SR
1,72,free,SR
1,73,free,N
1,74,free,R
1,75,free,SR
1,76,paid,N
1,77,free,R
1,78,free,R
1,79,paid,R
1,80,free,N
1,81,free,N
1,82,free,N
1,83,free,R
1,84,paid,N
1,85,free,SSR
1,86,free,N
1,87,free,SSR
1,88,free,SR
1,89,free,R
1,90,free,SR
1,91,free,N
1,92,free,N
1,93,paid,N
1,94,paid,SSR
1,95,paid,SR
1,96,free,N
1,97,free,N
1,98,paid,R
1,99,free,N
1,100,free,R
1,101,free,N
1,102,free,SR
1,103,paid,N
1,104,free,N
1,105,paid,R
1,106,free,N
1,107,free,R
1,108,free,N
1,109,paid,SSR
1,110,paid,SSR
1,111,free,N
1,112,free,N
1,113,free,R
1,114,free,N
1,115,free,R
1,116,free,N
1,117,free,R
1,118,free,N
1,119,paid,N
1,120,paid,SR
1,121,free,N
1,122,free,R
1,123,free,N
1,124,paid,SR
1,125,free,N
1,126,paid,SSR
1,127,paid,N
1,128,free,N
1,129,free,R
1,130,free,R
1,131,free,R
1,132,free,N
1,133,free,N
1,134,free,SR
1,135,free,N
1,136,free,N
1,137,paid,N
1,138,free,N
1,139,paid,R
1,140,free,N
1,141,free,R
1,142,paid,SR
1,143,free,R
1,144,free,N
1,145,free,R
1,146,paid,N
1,147,paid,N
1,148,paid,N
1,149,paid,N
1,150,paid,N
1,151,free,N
1,152,paid,R
1,153,free,R
1,154,free,R
1,155,free,SR
1,156,paid,N
1,157,free,N
1,158,free,N
1,159,free,SR
1,160,free,N
1,161,free,SR
1,162,paid,N
1,163,free,N
1,164,free,SR
1,165,paid,SR
1,166,free,N
1,167,free,SR
1,168,free,N
1,169,free,R
1,170,free,N
1,171,free,N
1,172,free,N
1,173,free,N
1,174,free,N
1,175,free,N
1,176,free,N
1,177,free,N
1,178,paid,SR
1,179,free,SR
1,180,free,R
1,181,free,N
1,182,free,R
1,183,free,SR
1,184,paid,N
1,185,paid,R
1,186,free,R
1,187,free,N
1,188,free,N
1,189,free,N
1,190,free,N
1,191,free,N
1,192,paid,SSR
1,193,free,R
1,194,free,N
1,195,paid,N
1,196,free,N
1,197,free,N
1,198,free,SR
1,199,free,SR
1,200,free,N
1,201,free,N
1,202,paid,R
1,203,free,SR
1,204,free,R
1,205,free,R
1,206,free,N
1,207,free,R
1,208,paid,R
1,209,free,N
1,210,free,SR
1,211,free,SR
1,212,paid,R
1,213,free,N
1,214,free,N
1,215,free,N
1,216,free,R
1,217,paid,R
1,218,free,N
1,219,free,N
1,220,free,N
1,221,free,N
1,222,free,R
1,223,free,R
1,224,free,R
1,225,free,N
1,226,free,R
1,227,free,SR
1,228,free,N
1,229,free,SR
1,230,free,N
