Voted,Female,Age,Educ,Knowledge,Ideology
0,1,44,3,3,5
0,0,57,3,4,8
0,1,28,2,3,4
0,0,50,4,1,3
0,1,23,2,5,7
0,1,32,4,1,5
1,0,38,4,5,10
1,0,23,4,4,7
1,0,47,4,5,5
1,0,48,2,5,6
1,1,41,4,3,5
0,0,47,3,3,6
0,0,23,4,5,7
0,1,44,3,3,5
1,1,69,2,5,8
1,1,70,2,3,5
1,1,67,3,5,7
0,0,32,4,4,7
0,1,52,2,2,7
1,1,76,2,2,8
1,1,34,4,5,2
0,0,51,3,5,5
1,0,52,4,3,5
0,1,47,3,4,0
1,0,70,1,2,5
1,1,52,3,5,5
1,0,58,4,5,9
1,0,54,4,5,3
1,1,38,3,4,5
0,0,47,4,3,6
1,0,43,2,3,7
1,1,23,4,3,5
0,0,34,4,3,5
1,1,55,3,3,5
1,0,41,4,5,3
0,0,40,4,3,5
0,0,33,4,1,5
1,0,29,4,5,9
1,0,45,4,5,3
0,0,48,4,3,3
1,0,58,4,3,5
0,0,59,4,3,5
1,0,60,2,5,3
0,0,69,3,1,1
1,0,49,4,5,4
1,0,60,2,5,5
1,0,36,4,5,7
1,0,47,4,4,7
0,0,55,4,3,3
1,0,57,4,3,6
1,1,63,4,3,3
0,0,42,4,5,4
1,1,65,3,5,4
0,0,69,2,4,7
1,1,67,4,5,5
1,0,39,4,5,8
1,0,71,3,5,7
1,0,61,4,5,7
1,1,44,3,5,3
1,0,45,3,5,2
1,0,63,4,5,4
1,0,41,3,5,5
1,0,45,2,4,6
0,1,42,4,3,5
1,1,51,4,5,5
1,0,66,4,5,5
1,0,50,4,4,6
1,0,61,2,3,5
1,1,46,3,4,8
1,0,68,4,4,2
1,0,54,2,3,5
0,0,46,4,4,7
1,0,51,4,5,7
0,0,48,3,3,3
1,0,39,4,5,3
0,1,37,4,5,6
1,0,49,4,4,2
0,0,31,4,3,5
0,0,54,4,2,9
0,0,74,4,5,6
1,0,59,4,5,4
1,1,70,3,5,5
1,1,42,3,2,10
0,1,36,3,2,10
1,1,26,4,4,8
1,1,60,3,4,7
0,1,54,3,3,6
0,0,62,4,3,6
1,0,41,4,5,2
0,1,41,4,3,9
1,0,56,4,3,5
1,0,45,2,5,7
0,0,75,4,3,6
0,1,70,2,3,7
0,1,43,4,1,6
1,0,63,4,3,6
1,0,65,4,5,3
1,0,66,4,5,3
1,1,39,3,3,7
1,0,75,4,5,10
0,0,62,4,2,6
1,1,45,4,5,7
1,1,70,2,3,4
1,1,54,3,3,4
0,0,29,4,4,5
1,1,49,4,5,6
0,0,43,4,4,5
1,0,57,2,5,6
0,0,46,3,3,5
0,0,58,4,3,7
1,1,60,3,3,5
0,1,55,3,4,8
0,1,42,4,2,9
1,0,22,4,2,7
0,0,43,3,4,7
1,1,72,2,5,4
1,1,73,1,5,5
0,1,63,3,3,5
1,0,70,2,5,8
1,1,53,2,5,5
0,0,37,4,1,6
1,0,70,4,4,6
1,1,77,3,4,3
1,0,63,2,4,5
0,1,49,2,3,5
0,1,71,2,3,5
1,0,36,3,3,3
0,0,44,1,3,6
1,0,32,4,3,6
1,0,38,4,2,7
0,0,64,4,4,3
1,0,41,4,4,6
1,0,41,4,5,5
1,1,67,2,5,7
1,1,55,3,3,5
1,1,79,2,5,5
1,0,72,4,4,4
0,0,70,4,3,4
0,1,57,2,3,5
1,0,58,4,5,8
1,0,28,4,5,5
1,0,46,4,4,6
1,0,45,3,5,5
1,0,24,4,5,10
1,0,57,2,4,2
1,0,72,4,5,3
1,0,45,2,4,5
1,1,66,3,5,8
1,1,70,4,5,6
1,0,30,2,4,10
1,1,58,3,5,7
0,0,37,3,3,5
1,0,72,4,5,8
1,0,62,4,5,7
1,0,70,4,4,8
1,0,36,2,5,4
1,1,37,4,5,3
1,1,67,4,4,5
1,0,71,2,5,5
1,1,34,4,5,5
1,1,69,3,5,4
1,0,54,4,4,8
1,0,51,4,3,4
1,0,58,4,5,4
1,0,57,2,5,5
1,1,53,3,5,3
1,0,45,4,4,7
1,0,60,4,5,7
1,0,69,4,5,6
1,1,50,3,3,5
1,1,50,3,4,8
1,0,50,4,5,6
1,0,68,4,5,10
1,0,70,4,5,5
1,0,71,4,5,3
1,1,50,4,5,3
1,0,43,4,4,7
1,0,35,4,5,0
1,1,77,2,5,10
0,1,39,4,4,1
1,0,41,4,4,7
1,1,69,2,3,5
0,1,46,3,2,5
0,0,29,4,4,7
1,0,72,4,5,8
1,0,57,4,3,4
0,0,41,2,5,2
0,1,50,1,2,5
0,1,56,2,3,7
1,0,62,4,1,8
1,1,50,4,5,8
1,0,68,2,5,3
1,0,25,2,2,1
0,1,53,4,4,6
1,1,37,4,4,7
1,1,70,4,5,7
1,0,53,4,5,7
1,0,64,2,5,5
0,0,67,2,4,3
1,0,50,4,2,4
0,1,53,3,5,10
1,0,57,4,5,0
0,0,54,2,4,9
1,0,76,4,5,5
1,0,56,4,2,7
0,1,62,3,4,7
1,1,71,3,4,3
1,0,55,4,5,3
0,1,60,3,5,3
0,1,65,3,5,4
1,0,74,4,5,3
0,0,49,3,3,7
1,0,51,4,5,4
1,0,38,2,5,5
1,0,46,4,1,7
1,0,21,2,3,3
1,0,65,4,5,1
1,1,60,4,2,6
1,0,52,3,5,1
0,0,38,4,3,4
