Temp_Rikken,Ideology,Interest,Gender,Age,Education,Job,Income
30,9,1,2,69,4,5,4333994
50,7,4,2,47,3,1,979181
0,11,2,2,37,2,1,8498127
50,11,2,1,51,4,2,7572654
30,7,2,1,38,4,1,6436713
0,11,1,1,71,2,5,3410276
10,9,2,1,47,3,2,8652860
0,11,1,1,71,2,5,927703
50,9,1,1,75,4,1,4497693
55,6,2,2,66,3,4,2419573
1,10,2,1,45,4,1,8651568
50,6,4,2,65,2,1,2579443
0,10,1,2,73,3,4,4484688
60,7,2,1,54,2,1,9599381
50,6,3,2,62,4,4,4671056
20,9,1,1,36,2,1,6500686
3,4,3,2,69,4,2,8440579
0,7,1,1,62,4,5,4717498
0,3,3,1,65,4,5,2490241
0,7,2,2,61,4,5,3384457
0,10,2,2,70,2,5,1202697
50,6,3,1,38,2,1,6484944
25,6,2,1,50,4,1,6399548
50,6,3,2,41,4,4,6470426
60,5,2,2,60,4,4,761356
0,9,2,1,64,4,5,915225
50,6,3,1,62,4,1,9243209
20,5,1,1,71,4,5,2317484
0,11,4,1,45,2,1,3543050
30,4,3,2,48,2,4,8540352
15,7,2,1,61,3,2,17148675
0,9,1,2,53,2,4,4422284
50,7,2,2,66,2,4,8475889
25,7,2,2,57,2,4,6385198
70,6,1,1,47,4,1,9685530
20,6,2,2,67,2,1,7455450
100,4,1,2,63,3,4,2399243
25,6,3,1,40,4,5,3331381
40,6,2,1,74,1,5,3552567
50,10,1,2,47,2,4,4527968
100,6,1,1,28,4,1,6355322
80,5,2,1,49,4,1,7670456
10,7,3,1,28,4,1,10848466
30,8,2,2,50,3,1,8515626
35,8,2,2,63,2,1,2501305
0,6,2,1,73,2,5,3583376
50,6,2,2,43,3,1,9354573
80,3,2,1,58,4,2,2383121
25,6,2,2,71,2,6,999443
50,6,4,2,70,2,4,4438056
50,6,2,2,60,2,4,994437
20,5,2,1,51,3,1,7511506
70,6,2,2,63,3,4,8580609
50,6,2,2,43,2,1,2522583
75,7,2,2,59,2,2,4480121
30,5,3,2,53,4,2,1149593
40,7,2,2,45,2,1,2428745
50,5,2,2,66,4,4,3527328
40,7,2,2,51,4,1,6470099
0,4,2,1,63,3,5,907830
50,6,4,1,55,4,1,24835934
50,4,1,2,72,4,6,4601916
0,5,2,1,29,2,1,3549471
5,6,2,1,60,4,1,2508387
80,6,3,2,57,4,4,9444207
20,4,3,1,43,4,1,6364164
0,8,2,2,43,2,4,9463693
60,4,2,1,39,4,1,12939564
50,6,3,2,50,4,1,6426149
20,10,2,1,62,4,5,6315985
0,6,4,2,67,4,4,2480858
40,9,2,2,61,3,2,4512453
60,3,1,1,66,4,5,4632306
0,1,4,1,61,4,2,25041609
10,8,2,1,65,3,1,8458729
50,2,2,1,58,3,2,4364293
40,5,2,1,44,4,1,8588831
20,5,3,2,56,3,5,1251793
70,5,2,1,64,3,2,968090
20,8,1,1,29,4,1,11033663
5,9,2,1,58,2,1,16948226
50,6,4,1,45,4,5,1079062
0,6,1,2,51,4,4,1116703
60,3,2,1,62,4,1,3301402
0,8,2,1,28,4,1,12969040
0,9,3,2,69,3,4,4448481
50,6,2,1,57,4,2,13220990
0,9,2,2,61,2,1,8614777
60,4,2,1,38,4,1,10921531
30,7,1,2,71,1,5,2388329
50,8,4,2,37,4,4,7509491
70,5,2,1,45,4,1,6694980
55,6,2,1,72,4,5,4442815
0,6,2,1,37,4,1,7603350
0,10,1,2,37,4,1,6365896
60,10,2,1,64,4,1,10930882
0,6,2,2,66,2,6,3395617
0,9,3,1,52,2,5,2622245
50,6,3,2,42,4,4,3574686
30,8,2,1,56,4,1,16949996
60,7,2,2,50,4,4,9425476
50,5,2,1,65,2,5,2507934
0,3,2,2,48,3,1,9532057
30,4,2,2,75,4,5,6454255
60,8,2,2,47,4,4,9459318
50,5,3,1,42,3,1,17067611
25,6,2,1,43,4,2,12917738
70,3,1,2,68,4,4,3451742
85,5,2,1,68,4,5,3662359
50,6,3,2,56,2,4,6411506
80,9,1,2,62,2,4,885630
60,7,2,1,67,4,5,3494841
40,7,3,2,60,2,4,7643578
10,6,3,2,48,2,4,9462014
40,6,2,2,68,2,4,3439475
60,4,3,2,65,3,4,2334336
30,6,2,1,60,4,1,17068209
50,4,2,1,46,4,1,9370682
30,7,2,2,60,2,4,4504264
45,5,2,2,34,2,1,6464609
50,3,2,2,41,1,6,7551300
0,9,1,1,61,4,1,16971484
0,6,2,2,31,3,4,6591139
10,10,1,2,68,3,4,4495050
75,3,1,1,65,4,5,9556080
55,9,3,1,38,4,1,11121882
70,6,1,2,75,3,2,1005376
50,4,2,2,44,4,1,6419897
25,6,1,2,73,2,5,1033049
0,8,3,2,64,2,1,9770717
0,1,2,2,40,3,1,7497061
30,3,3,1,50,4,1,9509421
60,6,2,2,54,4,2,12879002
20,7,2,1,70,2,5,3514632
50,7,3,2,70,3,2,7551477
0,6,3,2,61,3,1,9438981
30,6,2,1,69,4,2,6394379
50,6,1,2,55,2,4,11126614
45,6,2,1,60,4,1,6676582
50,5,2,2,45,3,1,3560731
30,4,1,1,42,4,1,7316457
25,7,3,1,48,3,1,6419949
0,9,2,2,47,3,4,7615603
10,10,2,2,70,2,6,6487908
30,5,2,1,46,3,2,7630165
40,6,3,2,63,2,5,1001751
45,6,2,2,43,4,4,13082085
50,9,2,2,33,2,4,3577661
0,7,2,1,29,2,1,4600954
50,6,3,1,46,4,1,11025472
15,9,1,1,35,2,1,2447507
0,6,2,2,46,3,1,3537917
35,5,3,1,60,4,1,4414452
50,4,1,2,49,4,4,8502485
40,6,2,2,53,4,1,11044727
0,6,3,2,50,2,2,3387358
20,6,2,2,68,3,4,2532525
30,7,3,1,61,2,2,10764962
0,6,2,2,32,2,1,4453688
0,6,3,1,28,3,1,4714301
60,1,1,1,54,3,5,4559836
50,6,2,1,35,4,1,10832585
50,7,2,2,59,3,2,9504551
60,7,2,2,63,2,4,2387018
50,6,2,2,39,4,1,8574890
0,10,3,1,75,2,6,2441427
7,10,1,1,53,4,1,9521388
40,9,3,1,32,4,1,4421223
20,7,2,1,63,4,1,4579625
50,7,2,2,44,4,4,6479480
0,4,2,1,62,3,1,2611255
0,7,2,2,64,2,4,890631
50,8,1,1,54,4,1,9588487
10,5,1,1,60,4,1,24941314
5,8,1,2,65,3,4,8555338
80,4,1,2,72,3,5,3542366
0,8,1,2,45,3,1,6438247
70,4,1,1,70,4,5,3596201
0,7,2,2,53,3,6,17159158
20,9,2,2,62,4,6,4433057
60,5,2,2,46,3,4,7427765
0,4,2,1,49,3,1,9508166
40,6,3,2,57,3,4,6420039
0,6,3,1,28,4,1,12990483
10,7,2,2,71,4,4,999085
30,8,2,2,51,4,4,24978978
0,6,3,2,70,2,4,2558379
0,6,1,1,50,4,2,11024240
50,6,3,1,51,2,1,3572882
0,8,2,1,38,4,1,6468957
50,6,2,2,65,2,4,6471573
40,5,2,1,66,3,5,643629
50,9,2,2,68,4,5,6402320
5,6,2,1,53,4,1,9511197
50,9,4,2,42,3,5,3626355
1,10,1,1,39,3,2,4509799
50,6,2,2,74,1,4,2546585
0,10,4,1,43,2,1,9337857
25,7,3,1,33,2,1,906328
50,4,1,1,70,4,5,2596359
20,9,2,1,75,4,5,7512443
0,8,3,1,34,2,1,3659739
10,8,2,2,70,4,4,6646640
0,4,2,1,41,4,1,6609912
60,6,4,2,50,4,4,9492949
50,6,2,1,60,4,1,16919023
50,9,3,2,56,3,1,2566356
50,4,4,1,48,4,1,6520865
40,5,2,1,40,4,1,17131551
40,6,2,1,49,4,1,6405039
10,5,2,1,61,2,5,869092
0,11,2,1,47,3,1,2781670
25,6,2,1,35,3,1,8644016
50,4,2,1,43,2,1,2677803
50,8,2,1,42,4,1,17008249
50,6,3,2,54,2,4,4496517
20,8,1,1,54,4,5,1016172
70,4,2,1,74,4,1,6492393
0,7,2,2,45,3,4,3614995
100,3,2,2,71,2,4,2586098
70,4,2,1,47,4,1,6518546
10,6,3,1,66,3,5,1064965
50,6,2,2,42,4,1,7537350
50,4,3,1,38,4,1,7494841
80,5,2,1,52,3,1,1144322
30,10,1,1,71,4,5,8621897
50,4,3,2,60,2,1,4494134
0,5,3,1,45,3,2,2452750
50,6,2,2,52,2,2,3301136
50,6,2,1,58,4,1,4371715
50,4,3,1,36,4,2,1099702
