TempKyosan,Female,Age,Satisfaction,Interest,Ideology
20,1,69,4,4,9
20,1,47,1,1,7
0,1,37,3,3,11
0,0,51,4,3,11
20,0,38,2,3,7
0,0,71,5,4,11
10,0,47,3,3,9
0,0,71,4,4,11
25,0,75,3,4,9
40,1,66,2,3,6
0,0,45,2,3,10
50,1,65,3,1,6
0,1,73,5,4,10
40,0,54,2,3,7
50,1,62,3,2,6
10,0,36,4,4,9
3,1,69,1,2,4
0,0,62,5,4,7
0,0,65,2,2,3
0,1,61,3,3,7
0,1,70,4,3,10
50,0,38,2,2,6
25,0,50,2,3,6
20,1,41,3,2,6
50,1,60,1,3,5
0,0,64,3,3,9
50,0,62,3,2,6
50,0,71,1,4,5
0,0,45,5,1,11
20,1,48,3,2,4
20,0,61,2,3,7
0,1,53,4,4,9
25,1,66,4,3,7
25,1,57,1,3,7
70,0,47,5,4,6
10,1,67,1,3,6
100,1,63,1,4,4
0,0,40,4,2,6
40,0,74,2,3,6
50,1,47,1,4,10
0,0,28,3,4,6
70,0,49,2,3,5
0,0,28,4,2,7
10,1,50,3,3,8
5,1,63,2,3,8
50,0,73,1,3,6
50,1,43,3,3,6
80,0,58,1,3,3
25,1,71,3,3,6
50,1,70,1,1,6
50,1,60,1,3,6
0,0,51,4,3,5
60,1,63,1,3,6
10,1,43,4,3,6
50,1,59,2,3,7
20,1,53,3,2,5
50,1,45,3,3,7
25,1,66,2,3,5
40,1,51,3,3,7
10,0,63,3,3,4
50,0,55,3,1,6
20,1,72,1,4,4
0,0,29,3,3,5
0,0,60,3,3,6
60,1,57,2,2,6
10,0,43,4,2,4
0,1,43,4,3,8
50,0,39,4,3,4
50,1,50,2,2,6
0,0,62,4,3,10
0,1,67,2,1,6
20,1,61,3,3,9
60,0,66,1,4,3
0,0,61,1,1,1
0,0,65,3,3,8
100,0,58,1,3,2
0,0,44,3,3,5
10,1,56,2,2,5
50,0,64,2,3,5
50,0,29,4,4,8
0,0,58,3,3,9
50,0,45,3,1,6
0,1,51,1,4,6
60,0,62,1,3,3
10,0,28,4,3,8
0,1,69,2,2,9
50,0,57,2,3,6
0,1,61,2,3,9
25,0,38,3,3,4
25,1,71,3,4,7
50,1,37,3,1,8
70,0,45,2,3,5
50,0,72,2,3,6
0,0,37,3,3,6
0,1,37,5,4,10
60,0,64,2,3,10
0,1,66,3,3,6
0,0,52,2,2,9
50,1,42,3,2,6
0,0,56,2,3,8
60,1,50,2,3,7
40,0,65,3,3,5
0,1,48,4,3,3
30,1,75,1,3,4
0,1,47,4,3,8
50,0,42,2,2,5
50,0,43,3,3,6
65,1,68,1,4,3
70,0,68,2,3,5
30,1,56,2,2,6
100,1,62,1,4,9
60,0,67,1,3,7
25,1,60,2,2,7
10,1,48,3,2,6
50,1,68,2,3,6
60,1,65,1,2,4
10,0,60,3,3,6
10,0,46,1,3,4
30,1,60,3,3,7
40,1,34,3,3,5
50,1,41,2,3,3
0,0,61,3,4,9
0,1,31,3,3,6
0,1,68,5,4,10
10,0,65,1,4,3
55,0,38,2,2,9
70,1,75,1,4,6
20,1,44,2,3,4
50,1,73,1,4,6
0,1,64,3,2,8
0,1,40,2,3,1
30,0,50,3,2,3
50,1,54,2,3,6
0,0,70,2,3,7
50,1,70,2,2,7
0,1,61,3,2,6
0,0,69,3,3,6
0,1,55,1,4,6
30,0,60,3,3,6
50,1,45,1,3,5
0,0,42,4,4,4
25,0,48,3,2,7
0,1,47,4,3,9
5,1,70,3,3,10
10,0,46,4,3,5
40,1,63,2,2,6
45,1,43,3,3,6
50,1,33,1,3,9
45,0,29,2,3,7
45,0,46,1,2,6
0,0,35,2,4,9
0,1,46,3,3,6
5,0,60,2,2,5
50,1,49,3,4,4
10,1,53,3,3,6
0,1,50,1,2,6
10,1,68,3,3,6
10,0,61,3,2,7
0,1,32,1,3,6
0,0,28,3,2,6
80,0,54,1,4,1
50,0,35,3,3,6
50,1,59,1,3,7
60,1,63,2,3,7
25,1,39,3,3,6
0,0,75,4,2,10
5,0,53,4,4,10
0,0,32,4,2,9
10,0,63,4,3,7
50,1,44,2,3,7
0,0,62,2,3,4
0,1,64,4,3,7
20,0,54,3,4,8
0,0,60,1,4,5
5,1,65,4,4,8
20,1,72,1,4,4
0,1,45,4,4,8
70,0,70,1,4,4
10,1,53,4,3,7
10,1,62,4,3,9
30,1,46,3,3,5
0,0,49,4,3,4
60,1,57,3,2,6
0,0,28,3,2,6
10,1,71,2,3,7
20,1,51,3,3,8
0,1,70,2,2,6
0,0,50,1,4,6
0,0,51,3,2,6
0,0,38,2,3,8
20,1,65,1,3,6
30,0,66,2,3,5
0,1,68,3,3,9
