ID,Female,Over40,Pasta
1,0,0,Naporitan
2,1,0,Naporitan
3,0,0,Naporitan
4,0,0,Carbonara
5,0,0,Naporitan
6,0,1,MeatSauce
7,0,1,Peperoncino
8,0,1,MeatSauce
9,1,0,Carbonara
10,0,0,Carbonara
11,1,1,MeatSauce
12,0,1,Carbonara
13,0,1,MeatSauce
14,1,1,Naporitan
15,0,0,Naporitan
16,0,1,Naporitan
17,0,1,Peperoncino
18,0,1,MeatSauce
19,1,1,Peperoncino
20,1,1,Peperoncino
21,0,0,Naporitan
22,1,1,Peperoncino
23,0,1,Naporitan
24,0,1,Peperoncino
25,0,1,Naporitan
26,1,0,Naporitan
27,1,0,MeatSauce
28,1,0,Naporitan
29,0,1,Carbonara
30,1,0,Carbonara
31,0,1,Naporitan
32,0,0,Naporitan
33,1,0,Carbonara
34,0,1,Naporitan
35,0,1,Peperoncino
36,1,0,Peperoncino
37,0,1,Naporitan
38,1,0,Carbonara
39,0,1,Peperoncino
40,0,1,MeatSauce
41,1,0,Peperoncino
42,0,0,MeatSauce
43,1,1,Naporitan
44,1,1,Peperoncino
45,1,1,Peperoncino
46,0,1,Naporitan
47,0,1,Carbonara
48,1,0,MeatSauce
49,0,1,Naporitan
50,0,0,Naporitan
51,1,1,MeatSauce
52,1,1,MeatSauce
53,0,0,MeatSauce
54,0,1,Peperoncino
55,0,0,Naporitan
56,0,0,MeatSauce
57,0,0,Naporitan
58,0,1,Peperoncino
59,0,1,MeatSauce
60,0,1,MeatSauce
61,1,1,Naporitan
62,0,0,Naporitan
63,1,0,Naporitan
64,0,1,Carbonara
65,0,1,Carbonara
66,0,0,Naporitan
67,0,0,Carbonara
68,1,1,MeatSauce
69,0,1,Peperoncino
70,1,0,Carbonara
71,1,0,MeatSauce
72,1,1,Peperoncino
73,1,0,Naporitan
74,0,0,MeatSauce
75,1,1,MeatSauce
76,1,0,Carbonara
77,1,0,Peperoncino
78,0,1,Peperoncino
79,0,1,Naporitan
80,0,1,Carbonara
81,0,1,MeatSauce
82,1,0,Naporitan
83,0,0,Naporitan
84,1,1,Naporitan
85,1,1,MeatSauce
86,1,0,Naporitan
87,0,1,Peperoncino
88,1,0,Peperoncino
89,0,0,MeatSauce
90,1,1,MeatSauce
91,0,1,Peperoncino
92,0,1,Naporitan
93,1,0,MeatSauce
94,0,1,MeatSauce
95,1,1,MeatSauce
96,0,1,MeatSauce
97,0,1,Carbonara
98,0,1,Carbonara
99,0,1,MeatSauce
100,1,0,MeatSauce
101,0,1,Carbonara
102,0,1,Peperoncino
103,1,0,MeatSauce
104,1,0,MeatSauce
105,0,1,Carbonara
106,0,0,MeatSauce
107,0,1,MeatSauce
108,1,0,Naporitan
109,0,1,MeatSauce
110,0,1,Carbonara
111,1,0,MeatSauce
112,0,0,Peperoncino
113,0,0,MeatSauce
114,0,0,MeatSauce
115,0,1,Naporitan
116,1,0,Peperoncino
117,0,1,MeatSauce
118,1,0,Naporitan
119,0,0,Peperoncino
120,0,0,Carbonara
121,0,1,Carbonara
122,0,0,MeatSauce
123,1,0,Naporitan
124,1,1,Peperoncino
125,0,1,Carbonara
126,1,0,Naporitan
127,1,0,MeatSauce
128,0,0,Naporitan
129,1,0,Peperoncino
130,1,1,Peperoncino
131,0,1,MeatSauce
132,0,1,Naporitan
133,0,1,Carbonara
134,0,1,MeatSauce
135,0,1,Carbonara
136,0,1,MeatSauce
137,1,0,Peperoncino
138,1,0,Naporitan
139,0,1,Carbonara
140,0,1,Carbonara
141,1,1,Naporitan
142,1,0,Carbonara
143,1,0,Naporitan
144,1,1,Naporitan
145,0,1,Peperoncino
146,0,1,Naporitan
147,0,1,Carbonara
148,1,1,Naporitan
149,0,1,Peperoncino
150,0,1,MeatSauce
151,0,1,Naporitan
152,0,1,Naporitan
153,1,0,MeatSauce
154,0,1,Carbonara
155,1,0,Naporitan
156,0,0,Carbonara
157,0,1,Carbonara
158,1,0,Naporitan
159,1,0,Naporitan
160,0,1,MeatSauce
161,1,0,MeatSauce
162,1,1,MeatSauce
163,0,1,MeatSauce
164,1,1,Carbonara
165,0,1,Peperoncino
166,1,1,Naporitan
167,1,1,MeatSauce
168,0,1,MeatSauce
169,0,1,Carbonara
170,1,1,Peperoncino
171,0,1,Peperoncino
172,1,0,Naporitan
173,0,0,Carbonara
174,0,1,Carbonara
175,0,0,Carbonara
176,1,1,MeatSauce
177,0,0,Carbonara
178,0,1,MeatSauce
179,1,0,Peperoncino
180,0,1,Peperoncino
181,1,0,Carbonara
182,0,1,Carbonara
183,1,1,Peperoncino
184,0,1,MeatSauce
185,0,1,Naporitan
186,0,1,MeatSauce
187,1,1,Naporitan
188,1,1,MeatSauce
189,1,0,MeatSauce
190,0,1,Peperoncino
191,1,1,MeatSauce
192,0,0,MeatSauce
193,0,1,Peperoncino
194,1,1,Peperoncino
195,1,1,Naporitan
196,0,1,Peperoncino
197,0,1,MeatSauce
198,0,0,Carbonara
199,0,1,Carbonara
200,0,1,Naporitan
201,0,1,Carbonara
202,0,1,MeatSauce
203,0,0,Naporitan
204,0,1,MeatSauce
205,0,1,Naporitan
206,0,0,Naporitan
207,1,1,Naporitan
208,0,1,Peperoncino
209,0,1,Carbonara
210,0,1,MeatSauce
211,1,1,Carbonara
212,0,1,Carbonara
213,0,1,MeatSauce
214,0,1,MeatSauce
215,0,0,Carbonara
216,0,1,MeatSauce
217,0,1,Peperoncino
218,0,1,MeatSauce
219,0,1,Naporitan
220,0,1,MeatSauce
221,1,1,Peperoncino
222,1,0,Carbonara
223,1,1,Naporitan
224,0,1,Peperoncino
225,1,0,Naporitan
226,1,0,Carbonara
227,1,1,Naporitan
228,0,0,MeatSauce
229,0,0,MeatSauce
230,1,1,Carbonara
231,0,1,MeatSauce
232,1,0,Naporitan
233,0,1,Naporitan
234,0,0,MeatSauce
235,0,1,MeatSauce
236,1,0,Carbonara
237,0,1,Peperoncino
238,0,0,Peperoncino
239,0,1,Peperoncino
240,0,1,Peperoncino
241,0,1,MeatSauce
242,1,1,Peperoncino
243,0,0,MeatSauce
244,1,0,Carbonara
245,0,1,Peperoncino
246,0,1,Naporitan
247,1,0,MeatSauce
248,1,1,Carbonara
249,0,1,Peperoncino
250,0,1,Peperoncino
251,1,0,Naporitan
252,0,1,MeatSauce
253,0,1,Peperoncino
254,0,0,MeatSauce
255,1,0,MeatSauce
256,1,0,MeatSauce
257,1,0,Carbonara
258,1,1,Naporitan
259,1,1,MeatSauce
260,0,1,Naporitan
261,0,0,Carbonara
262,1,0,MeatSauce
263,1,1,Peperoncino
264,0,1,Peperoncino
265,0,0,Carbonara
266,0,1,Peperoncino
267,0,0,MeatSauce
268,1,0,Naporitan
269,1,0,Carbonara
