fem,age,educ,inc,child,youtube,diver1,diver2,diver3,diver4,diver5
0,25,5,7,1,6,1,4,4,2,3
0,26,5,11,1,3,3,2,3,3,3
0,28,5,10,1,4,5,5,5,5,5
1,59,5,6,1,3,3,4,4,3,4
1,28,5,9,1,6,2,4,4,4,4
0,50,5,10,1,4,4,4,4,4,4
0,44,4,2,1,2,3,4,4,3,4
1,45,5,12,1,5,2,3,3,3,4
1,54,5,3,2,1,4,4,4,3,4
0,27,5,NA,1,4,3,3,3,3,3
0,74,5,10,3,2,3,4,4,3,4
0,29,6,13,1,5,3,4,4,3,5
0,37,2,1,1,2,2,3,3,3,2
0,55,5,14,2,2,4,4,4,4,4
0,73,5,7,3,4,5,3,3,4,4
1,71,4,6,1,3,3,2,3,2,2
0,55,3,10,2,4,3,4,4,3,4
1,61,5,3,1,7,3,4,4,3,4
1,57,2,2,2,2,3,4,3,3,3
0,49,2,NA,1,4,3,3,4,3,5
1,62,2,1,3,1,3,4,3,3,3
0,67,2,13,2,3,4,3,4,4,4
0,43,5,3,1,6,1,2,2,1,1
0,53,5,NA,2,1,3,3,3,3,3
1,64,5,2,3,4,3,4,4,4,4
1,53,4,6,2,2,3,4,4,4,3
0,54,6,12,3,2,4,4,4,4,4
0,38,5,3,1,7,4,5,4,4,5
1,61,6,6,1,3,3,4,4,4,3
0,45,3,6,1,3,3,4,4,3,4
1,28,2,2,1,4,3,4,4,4,4
0,65,5,6,2,5,4,4,4,4,4
1,53,2,1,1,2,3,3,3,4,4
0,41,5,8,1,5,3,3,3,3,4
0,22,5,8,1,3,3,3,3,4,3
0,53,5,9,3,1,4,5,5,4,4
1,46,5,3,1,4,3,4,4,3,4
0,25,2,7,1,4,2,2,2,2,2
0,65,5,7,2,1,2,3,2,2,3
1,24,5,7,1,7,3,5,4,4,3
0,65,5,10,1,6,4,4,4,4,4
0,48,2,NA,1,2,3,3,3,3,3
1,40,5,12,2,7,5,5,5,2,5
0,52,1,3,1,6,4,4,4,4,3
1,29,4,4,1,4,1,2,1,2,2
1,22,5,NA,1,2,3,1,3,3,2
0,34,5,8,2,4,4,4,4,3,4
0,62,5,9,1,3,3,3,3,3,3
1,49,5,1,2,6,4,4,4,3,4
0,44,5,9,2,5,3,3,3,3,3
0,59,2,13,1,2,3,4,4,3,4
0,49,6,12,2,1,3,3,3,3,3
0,26,5,7,1,5,3,4,4,5,4
1,56,2,1,2,2,4,3,3,4,4
0,25,2,1,1,1,3,2,3,3,3
0,53,5,15,2,7,4,4,4,4,4
1,74,2,2,3,1,3,2,3,2,3
0,31,5,9,1,4,5,4,4,5,4
0,57,2,8,3,3,4,4,4,4,4
0,60,5,9,2,1,3,4,4,2,4
1,45,2,1,2,3,2,3,4,2,3
1,25,5,NA,1,3,3,4,3,3,3
1,70,2,1,1,1,3,3,3,3,4
0,46,6,15,2,2,3,4,4,4,5
1,64,2,2,2,2,3,4,4,4,4
0,64,5,9,2,2,5,5,5,5,5
1,28,5,6,1,2,3,4,4,3,4
0,53,2,10,1,3,4,4,3,4,3
1,75,2,2,1,1,4,4,4,4,4
0,46,6,13,1,2,4,4,4,4,4
