ID,Pref,Finance,Above65,Turnout
1,北海道,0.44595,32.2616952474353,53.9713681
2,青森県,0.34205,33.6917867183301,49.4873539
3,岩手県,0.35856,33.8142448807068,55.3788517
4,宮城県,0.59731,28.4390117095413,48.7988984
5,秋田県,0.31066,37.6017689056528,55.5578088
6,山形県,0.36209,33.9836478118372,61.8593173
7,福島県,0.52158,31.8274778157946,53.3940107
8,茨城県,0.63115,30.3069516456349,47.2186611
9,栃木県,0.61976,29.5680741428675,46.9822671
10,群馬県,0.61177,30.8851728269827,48.4905866
11,埼玉県,0.74351,27.3304667063227,50.2464664
12,千葉県,0.75112,28.0241371444312,50.0076216
13,東京都,1.07301,23.2918264067842,56.5409834
14,神奈川県,0.8533,25.8695160909847,54.4992889
15,新潟県,0.457,32.9773438307041,55.3074832
16,富山県,0.46248,32.9285666166033,51.365682
17,石川県,0.49718,30.1764227907702,46.4032965
18,福井県,0.40511,31.0623160355356,55.3128744
19,山梨県,0.38432,31.1443255329724,56.2273123
20,長野県,0.50787,32.2887932048893,57.7006441
21,岐阜県,0.53634,31.1137264846556,53.5875116
22,静岡県,0.69278,30.6651849400806,52.9677888
23,愛知県,0.88545,25.8328194755496,52.1722874
24,三重県,0.58573,30.5888717010541,52.7809512
25,滋賀県,0.54836,26.7156110955417,54.5841453
26,京都府,0.56803,29.4720257611051,50.9031085
27,大阪府,0.75219,27.6582837366688,52.4417632
28,兵庫県,0.62258,29.3204065164256,51.6115551
29,奈良県,0.417,31.7214535329716,55.9018704
30,和歌山県,0.32297,33.4246572336429,52.4177668
31,鳥取県,0.27259,32.471657913265,48.9249831
32,島根県,0.25379,34.6656568073307,56.367239
33,岡山県,0.51083,30.6796620464962,47.2280089
34,広島県,0.59332,29.7925705164047,46.7914408
35,山口県,0.43531,34.8415376756728,47.5925388
36,徳島県,0.31217,34.3498046412845,45.7197583
37,香川県,0.46068,32.1457425690967,49.2210282
38,愛媛県,0.42493,33.4325257594428,48.8086826
39,高知県,0.26105,35.6188455534539,47.3627781
40,福岡県,0.62808,28.2112240396045,48.7601187
41,佐賀県,0.34218,30.8576703064857,51.1152201
42,長崎県,0.33484,33.160135615819,48.7159532
43,熊本県,0.40305,31.660064332441,49.1263794
44,大分県,0.37501,33.5359299558128,52.9811859
45,宮崎県,0.34168,32.850513087966,47.5167984
46,鹿児島県,0.33756,32.7022965357561,48.6298071
47,沖縄県,0.36177,22.7025251465346,50.5312009
